,Date,Open,High,Low,Close,%Cchange,%Pchange
161,2018-08-27,3669.55,3713.4,3665.15,3710.4,1.1132155168889892,1.50792367399742
162,2018-08-28,3715.4,3754.35,3663.8,3677.25,-1.0268073424126631,-0.9014888843565187
163,2018-08-29,3687.1,3702.7,3677.05,3680.5,-0.1790024680643299,0.0883032196712403
164,2018-08-30,3678.55,3707.3,3675.15,3701.45,0.6225278982207564,0.5659944075970179
165,2018-08-31,3697.5,3743.05,3695.3,3725.35,0.7532116294793755,0.6415504583461981
166,2018-09-03,3748.45,3748.45,3693.85,3699.6,-1.3032053248676094,-0.69602119148016
167,2018-09-04,3700.75,3705.8,3622.25,3626.4,-2.009052219144765,-2.0185307743216363
168,2018-09-05,3621.85,3625.95,3568.35,3616.85,-0.1380509960379364,-0.2640419149259765
169,2018-09-06,3628.3,3659.45,3610.8,3653.8,0.7028084777995204,1.0112759319065157
170,2018-09-07,3671.85,3675.75,3636.6,3663.85,-0.2178738238217792,0.2743016226100885
171,2018-09-10,3655.65,3655.65,3613.3,3617.7,-1.038119075950933,-1.275672388534154
172,2018-09-11,3629.25,3638.65,3567.65,3573.65,-1.531996969070742,-1.232633302086095
173,2018-09-12,3571.1,3589.0,3532.75,3576.0,0.1372126235613702,0.0657158836689012
174,2018-09-14,3605.6,3669.4,3602.55,3664.55,1.634956733969389,2.4163949188849974
175,2018-09-17,3646.75,3678.5,3626.9,3667.05,0.5566600397614364,0.068174690827777
176,2018-09-18,3672.8,3681.85,3613.15,3620.6,-1.421258984970602,-1.2829365298569373
177,2018-09-19,3633.35,3675.8,3624.4,3654.8,0.5903642643841159,0.935755718507176
178,2018-09-21,3683.95,3712.95,3595.4,3675.65,-0.2253016463306974,0.5672466094432252
179,2018-09-24,3676.6,3707.75,3611.05,3622.9,-1.4605885872817228,-1.4560158988655496
180,2018-09-25,3613.1,3625.2,3561.15,3602.9,-0.2823060529738955,-0.5551083849121541
181,2018-09-26,3640.75,3640.75,3584.95,3617.8,-0.6303646226738946,0.411852507048485
182,2018-09-27,3624.5,3637.5,3591.6,3599.6,-0.6869913091460916,-0.5056117346371896
183,2018-09-28,3617.4,3626.4,3535.3,3560.45,-1.574335157848186,-1.099580109255855
184,2018-10-01,3568.9,3609.05,3512.8,3596.65,0.7775505057580767,1.0064921524196202
185,2018-10-03,3574.9,3659.05,3571.4,3629.5,1.5273154493831969,0.9050833448133326
186,2018-10-04,3598.5,3617.85,3396.45,3486.45,-3.113797415589834,-4.103027434783238
187,2018-10-05,3362.65,3362.65,3191.55,3205.9,-4.661502089126135,-8.751052746498635
188,2018-10-08,3213.9,3263.8,3185.35,3239.9,0.8089859672049535,1.0494151054044878
189,2018-10-09,3254.9,3258.05,3200.0,3206.1,-1.4992780116132656,-1.0542403543245746
190,2018-10-10,3210.05,3297.65,3209.8,3267.8,1.799037398171368,1.8881204480078424
191,2018-10-11,3207.95,3355.9,3204.95,3305.65,3.045558690129219,1.1450093022552268
192,2018-10-12,3348.9,3394.85,3347.35,3383.45,1.0316820448505395,2.299428098538466
193,2018-10-15,3393.75,3397.4,3334.95,3393.45,-0.0088397790055302,0.2946853497178388
194,2018-10-16,3404.85,3425.2,3392.9,3416.85,0.3524384334111635,0.684841301198475
195,2018-10-17,3441.85,3445.3,3360.95,3367.35,-2.1645336083792146,-1.4699986636375786
196,2018-10-19,3372.15,3394.15,3346.3,3359.5,-0.3751315926041276,-0.2336657240660785
197,2018-10-22,3382.35,3385.45,3325.1,3332.15,-1.4841752036306066,-0.820791380940231
198,2018-10-23,3312.7,3357.65,3284.95,3340.75,0.846741328825435,0.2574272244256502
199,2018-10-24,3384.85,3388.85,3334.65,3377.9,-0.2053266762190294,1.099795731075523
200,2018-10-25,3354.6,3377.25,3342.3,3359.95,0.159482501639537,-0.534234140389002
201,2018-10-26,3348.05,3349.2,3298.5,3336.05,-0.3584175863562372,-0.7164161208614869
202,2018-10-29,3346.55,3408.55,3320.2,3401.8,1.650953967518788,1.932800282203539
203,2018-10-30,3393.95,3395.25,3356.55,3361.95,-0.942854196437779,-1.185323993515679
204,2018-10-31,3357.1,3391.5,3313.95,3384.35,0.8117124899466801,0.6618700784493357
205,2018-11-01,3400.7,3418.6,3384.25,3409.35,0.2543593965948214,0.7332776042354114
206,2018-11-02,3442.85,3488.2,3439.75,3466.0,0.6724080340415671,1.6344489324870193
207,2018-11-05,3479.3,3479.3,3394.85,3408.95,-2.021958439916085,-1.6735358394813704
208,2018-11-06,3422.7,3435.05,3395.6,3409.15,-0.3958862886025572,0.0058665649795483
209,2018-11-07,3436.25,3436.4,3425.75,3429.25,-0.2037104401600581,0.5861339943136228
210,2018-11-09,3447.4,3465.4,3439.65,3458.6,0.3248825201601154,0.8486092638639886
211,2018-11-12,3462.65,3468.4,3382.3,3389.2,-2.1212077455128373,-2.04768086864157
212,2018-11-13,3403.3,3434.8,3401.3,3431.0,0.8139159051508776,1.2183037015447444
213,2018-11-14,3461.1,3509.2,3450.1,3458.15,-0.0852330184045482,0.7851018608215401
214,2018-11-15,3457.1,3473.5,3423.55,3454.75,-0.0679760492898646,-0.0984152254142873
215,2018-11-16,3445.4,3446.7,3396.9,3413.05,-0.938933070180528,-1.2217811048768643
216,2018-11-19,3415.8,3421.35,3385.0,3408.4,-0.2166403185198223,-0.1364276493369349
217,2018-11-20,3415.5,3431.8,3376.4,3381.85,-0.9852144634753358,-0.7850732587193454
218,2018-11-21,3418.1,3434.5,3367.1,3371.7,-1.357479301366259,-0.3010350861583205
219,2018-11-22,3380.05,3384.3,3326.75,3331.9,-1.4245351400127244,-1.194513640865564
220,2018-11-26,3361.9,3368.65,3290.25,3314.7,-1.4039679942889518,-0.5189006546595551
221,2018-11-27,3311.65,3330.1,3296.65,3325.85,0.4287892742288532,0.3352526421817006
222,2018-11-28,3330.9,3334.75,3245.3,3252.25,-2.361223693296109,-2.263048658620952
223,2018-11-29,3278.4,3278.4,3225.65,3243.55,-1.0630185456320127,-0.2682246304203671
224,2018-11-30,3250.0,3264.25,3184.2,3212.65,-1.1492307692307664,-0.9618227942664184
225,2018-12-03,3215.15,3278.0,3208.7,3267.2,1.61889802964091,1.6696253672869654
226,2018-12-04,3256.7,3299.5,3254.5,3293.7,1.1361193846531763,0.8045662932264627
227,2018-12-05,3279.75,3301.55,3223.75,3231.75,-1.4635261833981248,-1.916918078440468
228,2018-12-06,3213.4,3221.0,3187.6,3193.65,-0.6146138046928487,-1.1929923441829853
229,2018-12-07,3203.65,3211.2,3154.7,3161.4,-1.3188082343576857,-1.0201176693869805
230,2018-12-10,3120.7,3147.4,3091.3,3140.15,0.6232576024609952,-0.6767192650032642
231,2018-12-11,3104.65,3155.4,3097.35,3151.0,1.4929219074613855,0.344335131704218
232,2018-12-12,3160.65,3210.85,3154.85,3204.5,1.3873728505212506,1.669527227336558
233,2018-12-13,3222.95,3228.5,3201.35,3219.6,-0.1039420406770166,0.4690023605416794
234,2018-12-14,3222.55,3275.85,3199.15,3271.4,1.5158802811438117,1.5834199425322548
235,2018-12-17,3311.75,3327.65,3300.8,3321.55,0.2959160564656203,1.5098372747663016
236,2018-12-18,3325.4,3356.55,3314.5,3352.5,0.8149395561436191,0.9231916480238574
237,2018-12-19,3368.45,3385.45,3362.55,3382.45,0.4156214282533509,0.8854528522224961
238,2018-12-20,3360.35,3397.8,3351.05,3394.7,1.0222149478476918,0.3608566294517925
239,2018-12-21,3392.7,3393.5,3356.5,3371.65,-0.620449789253389,-0.6836415404920358
240,2018-12-24,3376.3,3380.95,3321.6,3331.45,-1.3283772176643178,-1.206681775202998
241,2018-12-26,3336.55,3352.5,3299.6,3334.8,-0.0524493863421797,0.1004557994482536
242,2018-12-27,3344.5,3366.65,3325.95,3356.5,0.3587980266108536,0.6465067778936338
243,2018-12-28,3344.8,3392.85,3340.9,3381.85,1.1076895479550264,0.749589721602079
244,2018-12-31,3383.2,3394.55,3377.95,3389.35,0.1817805627808019,0.2212813666337203
245,2019-01-02,3383.2,3383.2,3314.8,3343.05,-1.1867462757152885,-1.5240573727584037
